,date,open,high,low,close,volume,symbol
491,2020-11-05 00:00:00,14144.01,15750.0,14093.56,15590.02,143741.522673,ETH
490,2020-11-06 00:00:00,15590.02,15960.0,15166.0,15579.92,122618.19769500001,ETH
489,2020-11-07 00:00:00,15579.93,15753.52,14344.22,14818.3,101431.206553,ETH
488,2020-11-08 00:00:00,14818.3,15650.0,14703.88,15475.1,65547.178574,ETH
487,2020-11-09 00:00:00,15475.1,15840.0,14805.54,15328.41,108976.33413399999,ETH
486,2020-11-10 00:00:00,15328.41,15460.0,15072.46,15297.21,61681.919605999996,ETH
485,2020-11-11 00:00:00,15297.21,15965.0,15272.68,15684.24,78469.74645800001,ETH
484,2020-11-12 00:00:00,15684.25,16340.7,15440.64,16291.86,102196.356592,ETH
483,2020-11-13 00:00:00,16291.85,16480.0,15952.35,16320.7,75691.881014,ETH
482,2020-11-14 00:00:00,16320.04,16326.99,15670.0,16070.45,59116.347179,ETH
481,2020-11-15 00:00:00,16069.56,16180.0,15774.72,15957.0,43596.841513,ETH
480,2020-11-16 00:00:00,15957.0,16880.0,15864.0,16713.57,81300.675924,ETH
479,2020-11-17 00:00:00,16713.08,17858.82,16538.0,17659.38,115221.403102,ETH
478,2020-11-18 00:00:00,17659.38,18476.93,17214.45,17776.12,149019.788134,ETH
477,2020-11-19 00:00:00,17777.75,18179.8,17335.65,17802.82,93009.561008,ETH
476,2020-11-20 00:00:00,17802.81,18815.22,17740.04,18655.67,88423.018489,ETH
475,2020-11-21 00:00:00,18655.66,18965.9,18308.58,18703.8,75577.458394,ETH
474,2020-11-22 00:00:00,18703.8,18750.0,17610.86,18414.43,81645.737778,ETH
473,2020-11-23 00:00:00,18413.88,18766.0,18000.0,18368.0,82961.50609299999,ETH
472,2020-11-24 00:00:00,18368.01,19418.97,18018.0,19160.01,113581.509241,ETH
471,2020-11-25 00:00:00,19160.0,19484.21,18500.27,18719.11,93266.576887,ETH
470,2020-11-26 00:00:00,18718.83,18915.03,16188.0,17149.47,181005.246693,ETH
469,2020-11-27 00:00:00,17149.47,17457.62,16438.08,17139.52,85297.024787,ETH
468,2020-11-28 00:00:00,17139.53,17880.49,16865.56,17719.85,64910.69997,ETH
467,2020-11-29 00:00:00,17719.84,18360.05,17517.0,18184.99,55329.016303,ETH
466,2020-11-30 00:00:00,18185.0,19863.16,18184.99,19695.87,115463.46688800001,ETH
465,2020-12-01 00:00:00,19695.87,19888.0,18001.12,18764.96,127698.762652,ETH
464,2020-12-02 00:00:00,18764.96,19342.0,18330.0,19204.09,75911.013478,ETH
463,2020-12-03 00:00:00,19204.08,19598.0,18867.2,19421.9,66689.391279,ETH
462,2020-12-04 00:00:00,19422.34,19527.0,18565.31,18650.52,71283.6682,ETH
461,2020-12-05 00:00:00,18650.51,19177.0,18500.0,19147.66,42922.748573000004,ETH
460,2020-12-06 00:00:00,19147.66,19420.0,18857.0,19359.4,37043.091861,ETH
459,2020-12-07 00:00:00,19358.67,19420.91,18902.88,19166.9,41372.296293,ETH
458,2020-12-08 00:00:00,19166.9,19294.84,18200.0,18324.11,61626.947614,ETH
457,2020-12-09 00:00:00,18324.11,18639.57,17650.0,18541.28,79585.553801,ETH
456,2020-12-10 00:00:00,18541.29,18557.32,17911.12,18254.63,52890.675094,ETH
455,2020-12-11 00:00:00,18254.81,18292.73,17572.33,18036.53,72610.72425900001,ETH
454,2020-12-12 00:00:00,18036.53,18948.66,18020.7,18808.69,49519.978431999996,ETH
453,2020-12-13 00:00:00,18808.69,19411.0,18711.12,19174.99,56560.82174400001,ETH
452,2020-12-14 00:00:00,19174.99,19349.0,19000.0,19273.14,47257.201294,ETH
451,2020-12-15 00:00:00,19273.69,19570.0,19050.0,19426.43,61834.366011,ETH
450,2020-12-16 00:00:00,19426.43,21560.0,19278.6,21335.52,114306.33557000001,ETH
449,2020-12-17 00:00:00,21335.52,23800.0,21230.0,22797.16,184882.47674800002,ETH
448,2020-12-18 00:00:00,22797.15,23285.18,22350.0,23107.39,79646.134315,ETH
447,2020-12-19 00:00:00,23107.39,24171.47,22750.0,23821.61,86045.064677,ETH
446,2020-12-20 00:00:00,23821.6,24295.0,23060.0,23455.52,76690.145685,ETH
445,2020-12-21 00:00:00,23455.54,24102.77,21815.0,22719.71,88030.297243,ETH
